bls	d0	d1	d2	d3	d4	d5	d6	d7	d8	d9	sec
10201	path932-1										once
10202	path932-6										once
10203	path932-4										once
10204	path932-7										once
10205	path932										once
10206	path934-43										once
10207	path934-6										once
10208	path934-4										once
10209	path934-0										once
10210	path934										once
201	path1064	path1205	path931	path1209							once
202	path1062										once
203	path1060										once
204	path1058										once
205	path936										once
10213	path1197	path1199	path1201	path1217							once
10212	path1203	path1201	path1217								once
10211	path1211	path1225									once
10214	path1215	path1195	path1193	path1221	path1227						once
10215	path1189	path1193									once
10218	path1179	path1181	path1177								once
10216	path1223	path1227									once
10217	path1191	path1181	path1177								once
10220	path1173	path1177									once
10219	path1229										once
206	path1231	path1233									once
10236	path1183										once
208	path1067										once
209	path967										once
207	path1005	path1008	path1025								once
10226	path1027	path1487									once
10224	path1063	path1487									once
10221	path1128										once
10230	path1084	path1088	path1086								once
10225	path1092	path1090	path1352	path1354							once
10228	path1206										once
211	path1204										once
215	path1262										once
213	path1264	path1266	path1270	path1272							once
210	path1392										once
212	path1268	path1270									once
217	path1396										once
10229	path1394										once
302	path4720										caballito
304	path4716										caballito
219	path4718										caballito
301	path4757										caballito
10314	path4722										caballito
303	path4836										caballito
306	path4841										caballito
305	path4839										caballito
308	path4845										caballito
10311	path4956										caballito
10301	path4958										caballito
10316	path4843										caballito
310	path5029										caballito
312	path5031										caballito
10302	path5085										caballito
309	path5033										caballito
307	path5035										caballito
10305	path5162										caballito
314	path5091										caballito
10303	path5088										caballito
316	path5222										caballito
313	path5446	path5473	path5475	path5477	path5448	path570	path5371	path582			caballito
311	path5336	path564	path568	path5283	path5300						caballito
318	path5281	path5319	path5354								caballito
320	path5467	path5300									caballito
10306	path566	path564	path568	path5283	path5300						caballito
10304	path580	path570	path5371	path5477	path582						caballito
10309	path5469	path5388									caballito
10307	path5450	path5388									caballito
315	path5411										caballito
322	path5428										caballito
10308	path5479										caballito
324	path5786										caballito
326	path5661										caballito
317	path5741										caballito
328	path5703										caballito
10310	path5825										caballito
319	path5828										caballito
330	path5830										caballito
10312	path5909										caballito
321	path5907										caballito
332	path6002										caballito
334	path5989	path5994	path5992	path6000	path6044	path6004	path6046				caballito
